,store,county,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
1619619,010243,BLACK HAWK,-1.6117445617598176,0.7415616011350129,74,0.0
1620454,010066,JOHNSON,-1.5975937302868837,0.7270911652312534,60,0.06414593256552056
1638653,010214,POLK,-1.6356311715525598,0.7257492670556217,120,0.3977888615595509
1647087,010245,LOUISA,-1.5945636451309542,0.7205838254556444,3,0.45473432081120846
1655347,4724,JASPER,-1.6238190633353138,0.7277959450307984,14,0.10615613372304376
1657379,010248,BLACK HAWK,-1.611870469253551,0.7414161804937229,77,0.021426171671459517
1675383,2843,LINN,-1.599850414550521,0.7334064750511919,109,0.0749604420211489
1693384,010104,LINN,-1.597873119853376,0.7337972943609263,34,0.49052112632532696
1701487,010254,DES MOINES,-1.5907093987296188,0.712233210383015,38,0.013037964611554473
1706425,010239,POLK,-1.6368714027808264,0.7250266835363496,56,1.2590381272547762
1719452,010249,SIOUX,-1.6765163130395542,0.750604588287002,6,0.02850771623494704
1736354,010256,BLACK HAWK,-1.6123840183709566,0.7417351198668374,85,0.02416569972116212
1759697,010261,POTTAWATTAMIE,-1.673212369614598,0.7202684971338458,55,0.022538955347159075
1787880,010259,STORY,-1.634012850608365,0.7339961751353365,44,0.03973702495999656
1798828,010258,WINNESHIEK,-1.60216162459296,0.7558653310949636,9,0.01807125656903275
1812403,010251,JONES,-1.5874678349778317,0.7327374379017584,0,5.821420958624715
1822206,010257,PLYMOUTH,-1.6852797511717705,0.7474973261376259,1,0.41131392531356037
1846787,010260,GUTHRIE,-1.6461805181385853,0.7241388517198999,4,0.41954649257953597
1877961,010211,VAN BUREN,-1.6072033538870703,0.7128119619818553,0,7.60707994726411
1899293,010244,WEBSTER,-1.6432426406992608,0.7404095268188773,4,2.2914909979931404e-12
1936603,010270,POLK,-1.6336585654904643,0.7280820566979981,51,0.0849184300222096
1938449,010269,BLACK HAWK,-1.6115772361019511,0.7418244999406145,72,0.03862661790644687
1955847,010272,POLK,-1.6377216229613352,0.7260499179263559,76,0.019290007097882086
1957931,2838,SCOTT,-1.5812662084004523,0.7253475621797024,75,0.09016294229201154
1992254,010275,POLK,-1.6332006443447364,0.7260580510210437,79,0.31096566106347096
2004171,010262,HAMILTON,-1.6330295151082843,0.7412731678133888,1,0.0
2052377,010225,WEBSTER,-1.643545018538383,0.7416872826260615,28,0.2542249004083834
2072573,010276,BLACK HAWK,-1.6119125890400434,0.7412320357785334,74,0.08319194756910248
2085172,010279,WASHINGTON,-1.6005984001851383,0.7207560021514471,9,0.15514749156187643
2092574,010266,CERRO GORDO,-1.627024814239847,0.7530849629534737,23,0.017567381050176637
2098752,010278,BENTON,-1.6035271361308934,0.7346893204479147,4,0.3121775032888376
2115785,010235,MONONA,-1.6718883278152767,0.7359693568593794,2,0.16391089903138803
2117049,010268,LINN,-1.6000608246034507,0.7323671200322693,91,0.019413880360241498
2153550,010287,POLK,-1.6354385403484155,0.7255479783028024,117,0.021151699455483116
2155129,6216,LINN,-1.5997353721502603,0.7322637619481255,89,0.03019686515992127
2161973,010285,SCOTT,-1.5796199859421567,0.7256193746610466,49,0.3672759476370817
2169000,010289,MARSHALL,-1.6260168168709166,0.7333331243430644,2,0.07717929506577109
